tas,"	Year", Month, Country, ISO3, ISO2
24.7999,1927,3,BRB,,
24.9662,1927,4,BRB,,
25.9988,1927,5,BRB,,
26.0651,1927,6,BRB,,
25.9651,1927,7,BRB,,
26.1651,1927,8,BRB,,
26.3988,1927,9,BRB,,
26.1662,1927,10,BRB,,
26.0988,1927,11,BRB,,
25.3325,1927,12,BRB,,
24.5,1928,1,BRB,,
24.4,1928,2,BRB,,
24.7,1928,3,BRB,,
25.1325,1928,4,BRB,,
26.2651,1928,5,BRB,,
26.2313,1928,6,BRB,,
26.0651,1928,7,BRB,,
26.3651,1928,8,BRB,,
26.3988,1928,9,BRB,,
26.2325,1928,10,BRB,,
26.0988,1928,11,BRB,,
25.0325,1928,12,BRB,,
24.2662,1929,1,BRB,,
24.3662,1929,2,BRB,,
24.6662,1929,3,BRB,,
25.1662,1929,4,BRB,,
25.6988,1929,5,BRB,,
26.1313,1929,6,BRB,,
26.1651,1929,7,BRB,,
26.4988,1929,8,BRB,,
26.2988,1929,9,BRB,,
26.3325,1929,10,BRB,,
25.7325,1929,11,BRB,,
24.9325,1929,12,BRB,,
24.6,1930,1,BRB,,
24.5662,1930,2,BRB,,
25.0662,1930,3,BRB,,
25.5325,1930,4,BRB,,
26.5651,1930,5,BRB,,
26.3313,1930,6,BRB,,
26.2651,1930,7,BRB,,
26.5651,1930,8,BRB,,
26.4325,1930,9,BRB,,
26.3662,1930,10,BRB,,
26.1988,1930,11,BRB,,
25.4325,1930,12,BRB,,
24.9662,1931,1,BRB,,
24.7662,1931,2,BRB,,
25.5662,1931,3,BRB,,
25.8325,1931,4,BRB,,
26.9651,1931,5,BRB,,
26.6313,1931,6,BRB,,
26.4651,1931,7,BRB,,
26.6651,1931,8,BRB,,
26.5325,1931,9,BRB,,
26.5325,1931,10,BRB,,
26.1988,1931,11,BRB,,
25.4325,1931,12,BRB,,
24.7662,1932,1,BRB,,
24.5662,1932,2,BRB,,
25.2662,1932,3,BRB,,
25.7325,1932,4,BRB,,
26.5651,1932,5,BRB,,
26.6313,1932,6,BRB,,
26.3651,1932,7,BRB,,
26.6651,1932,8,BRB,,
26.7988,1932,9,BRB,,
26.5325,1932,10,BRB,,
26.2988,1932,11,BRB,,
25.5325,1932,12,BRB,,
24.6662,1933,1,BRB,,
24.2999,1933,2,BRB,,
24.8662,1933,3,BRB,,
25.6325,1933,4,BRB,,
26.4651,1933,5,BRB,,
26.4313,1933,6,BRB,,
26.0651,1933,7,BRB,,
26.2988,1933,8,BRB,,
26.2988,1933,9,BRB,,
26.2325,1933,10,BRB,,
25.8988,1933,11,BRB,,
25.0325,1933,12,BRB,,
24.2,1934,1,BRB,,
24.1,1934,2,BRB,,
24.4662,1934,3,BRB,,
25.2662,1934,4,BRB,,
26.3651,1934,5,BRB,,
26.7313,1934,6,BRB,,
26.0651,1934,7,BRB,,
26.5651,1934,8,BRB,,
26.3325,1934,9,BRB,,
26.2325,1934,10,BRB,,
26.1988,1934,11,BRB,,
25.2662,1934,12,BRB,,
25.1662,1935,1,BRB,,
25.0662,1935,2,BRB,,
24.7,1935,3,BRB,,
25.4325,1935,4,BRB,,
26.0651,1935,5,BRB,,
27.1651,1935,6,BRB,,
26.0651,1935,7,BRB,,
25.8988,1935,8,BRB,,
25.7988,1935,9,BRB,,
26.4325,1935,10,BRB,,
26.4988,1935,11,BRB,,
24.5325,1935,12,BRB,,
24.7662,1936,1,BRB,,
24.7662,1936,2,BRB,,
25.5662,1936,3,BRB,,
25.9662,1936,4,BRB,,
26.7988,1936,5,BRB,,
26.4313,1936,6,BRB,,
26.1651,1936,7,BRB,,
26.4651,1936,8,BRB,,
26.8988,1936,9,BRB,,
26.5325,1936,10,BRB,,
25.8988,1936,11,BRB,,
25.0325,1936,12,BRB,,
24.2662,1937,1,BRB,,
24.5662,1937,2,BRB,,
25.1662,1937,3,BRB,,
25.6325,1937,4,BRB,,
26.8651,1937,5,BRB,,
26.8313,1937,6,BRB,,
26.6313,1937,7,BRB,,
26.9651,1937,8,BRB,,
27.3651,1937,9,BRB,,
26.6325,1937,10,BRB,,
26.7651,1937,11,BRB,,
25.7325,1937,12,BRB,,
24.5662,1938,1,BRB,,
24.2662,1938,2,BRB,,
24.8662,1938,3,BRB,,
25.0662,1938,4,BRB,,
26.2651,1938,5,BRB,,
25.9976,1938,6,BRB,,
26.2313,1938,7,BRB,,
26.4313,1938,8,BRB,,
26.5651,1938,9,BRB,,
26.8325,1938,10,BRB,,
25.6988,1938,11,BRB,,
25.3325,1938,12,BRB,,
24.4662,1939,1,BRB,,
23.9662,1939,2,BRB,,
25.7999,1939,3,BRB,,
24.9662,1939,4,BRB,,
26.0651,1939,5,BRB,,
25.9313,1939,6,BRB,,
25.9651,1939,7,BRB,,
26.5988,1939,8,BRB,,
